time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353935200.222,"2012-11-26 13:06:44",000640,38,4031,2301,"[80, 10]","[40, 40]","[50, 50]","[10, 80]",right,"3,1",NULL
1353935204.554,"2012-11-26 13:06:50",000640,39,4073,0123,"[50, 50]","[70, 60]","[60, 70]","[40, 40]",left,"0,2",NULL
1353935210.454,"2012-11-26 13:08:02",000640,40,4021,3210,"[40, 40]","[60, 10]","[10, 60]","[50, 50]",left,"3,1",NULL
1353935282.741,"2012-11-26 13:08:06",000640,41,4154,3210,"[40, 40]","[40, 10]","[10, 40]","[50, 50]",left,"3,1",NULL
1353935286.982,"2012-11-26 13:08:11",000640,42,2112,0123,"[90, 90]","[70, 60]","[60, 70]","[40, 40]",left,"0,2",NULL
1353935291.422,"2012-11-26 13:08:16",000640,43,1083,0123,"[50, 50]","[30, 60]","[60, 30]","[20, 20]",left,"0,2",NULL
1353935296.489,"2012-11-26 13:08:21",000640,44,3063,3210,"[0, 0]","[60, 30]","[30, 60]","[30, 30]",right,"2,0",NULL
1353935301.729,"2012-11-26 13:08:26",000640,45,1041,0123,"[50, 50]","[30, 80]","[80, 30]","[40, 40]",right,"1,3",NULL
1353935306.178,"2012-11-26 13:08:30",000640,46,3011,3210,"[40, 40]","[60, 30]","[30, 60]","[50, 50]",left,"3,1",NULL
1353935310.819,"2012-11-26 13:08:34",000640,47,3102,2301,"[60, 30]","[0, 0]","[70, 70]","[30, 60]",left,"2,0",NULL
1353935314.593,"2012-11-26 13:08:41",000640,48,2063,0123,"[30, 30]","[70, 60]","[60, 70]","[40, 40]",right,"1,3",NULL
1353935321.284,"2012-11-26 13:08:46",000640,49,1053,1032,"[30, 80]","[50, 50]","[20, 20]","[80, 30]",left,"1,3",NULL
1353935326.742,"2012-11-26 13:09:36",000640,50,1102,1032,"[30, 40]","[50, 50]","[0, 0]","[40, 30]",right,"0,2",NULL
1353935376.208,"2012-11-26 13:09:40",000640,51,4011,2301,"[60, 30]","[40, 40]","[50, 50]","[30, 60]",right,"3,1",NULL
1353935380.348,"2012-11-26 13:09:44",000640,52,1021,1032,"[30, 60]","[50, 50]","[60, 60]","[60, 30]",left,"1,3",NULL
1353935384.49,"2012-11-26 13:09:52",000640,53,1144,0123,"[50, 50]","[30, 20]","[20, 30]","[60, 60]",right,"1,3",NULL
1353935392.438,"2012-11-26 13:09:56",000640,54,3041,0123,"[30, 30]","[30, 60]","[60, 30]","[40, 40]",right,"1,3",NULL
1353935396.587,"2012-11-26 13:10:01",000640,55,2144,0123,"[90, 90]","[10, 60]","[60, 10]","[40, 40]",left,"0,2",NULL
1353935401.711,"2012-11-26 13:10:06",000640,56,1122,1032,"[30, 20]","[50, 50]","[20, 20]","[20, 30]",right,"0,2",NULL
1353935406.436,"2012-11-26 13:10:10",000640,57,4102,3210,"[40, 40]","[40, 70]","[70, 40]","[50, 50]",right,"2,0",NULL
1353935410.593,"2012-11-26 13:10:16",000640,58,4063,2301,"[80, 70]","[40, 40]","[50, 50]","[70, 80]",left,"2,0",NULL
1353935416.125,"2012-11-26 13:10:21",000640,59,3083,3210,"[20, 20]","[60, 30]","[30, 60]","[50, 50]",right,"2,0",NULL
1353935421.492,"2012-11-26 13:11:14",000640,60,3021,1032,"[30, 60]","[50, 50]","[60, 60]","[60, 30]",left,"1,3",NULL
1353935475.015,"2012-11-26 13:11:18",000640,61,2134,1032,"[30, 60]","[90, 90]","[40, 40]","[60, 30]",right,"0,2",NULL
1353935478.89,"2012-11-26 13:11:23",000640,62,4134,2301,"[20, 30]","[40, 40]","[50, 50]","[30, 20]",left,"2,0",NULL
1353935483.106,"2012-11-26 13:11:28",000640,63,4083,2301,"[60, 50]","[40, 40]","[50, 50]","[50, 60]",left,"2,0",NULL
1353938134.334,"2012-11-26 13:58:30",001360,0,2122,3210,"[40, 40]","[60, 50]","[50, 60]","[90, 90]",down,"1,0",NULL
1353938311.011,"2012-11-26 13:58:38",001360,1,3134,2301,"[60, 30]","[40, 40]","[90, 90]","[30, 60]",down,"0,1",NULL
1353938318.393,"2012-11-26 13:58:46",001360,2,2092,0123,"[70, 70]","[50, 60]","[60, 50]","[40, 40]",up,"0,1",NULL
1353938326.458,"2012-11-26 13:58:53",001360,3,4122,3210,"[40, 40]","[20, 50]","[50, 20]","[50, 50]",down,"1,0",NULL
1353938334.074,"2012-11-26 13:59:24",001360,4,3102,3210,"[0, 0]","[60, 30]","[30, 60]","[70, 70]",down,"1,0",NULL
1353938364.402,"2012-11-26 13:59:55",001360,5,1011,2301,"[60, 30]","[40, 40]","[50, 50]","[30, 60]",down,"0,1",NULL
1353938395.58,"2012-11-26 14:00:03",001360,6,2144,3210,"[40, 40]","[60, 10]","[10, 60]","[90, 90]",down,"1,0",NULL
1353942581.934,"2012-11-26 15:11:10",001640,0,4041,3210,"[40, 40]","[80, 30]","[30, 80]","[50, 50]",down,"1,0",NULL
1353942670.39,"2012-11-26 15:11:18",001640,1,3083,3210,"[20, 20]","[60, 30]","[30, 60]","[50, 50]",down,"1,0",NULL
1353942678.689,"2012-11-26 15:11:24",001640,2,1102,0123,"[50, 50]","[30, 40]","[40, 30]","[0, 0]",up,"0,1",NULL
1353942684.904,"2012-11-26 15:11:38",001640,3,4063,2301,"[80, 70]","[40, 40]","[50, 50]","[70, 80]",down,"0,1",NULL
1353942698.902,"2012-11-26 15:11:49",001640,4,1083,2301,"[60, 30]","[20, 20]","[50, 50]","[30, 60]",down,"0,1",NULL
1353942709.275,"2012-11-26 15:11:59",001640,5,3164,1032,"[30, 60]","[70, 70]","[40, 40]","[60, 30]",up,"1,0",NULL
