time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1354285946.127,"2012-11-30 14:32:40",011280,42,3102,1032,"[60, 30]","[70, 70]","[0, 0]","[30, 60]",up,"1,0",NULL
1354285960.358,"2012-11-30 14:33:07",011280,43,2134,1032,"[60, 30]","[90, 90]","[40, 40]","[30, 60]",down,"3,2",NULL
1354285987.487,"2012-11-30 14:33:24",011280,44,3053,0123,"[30, 30]","[60, 30]","[30, 60]","[20, 20]",down,"2,3",NULL
1354286004.475,"2012-11-30 14:33:39",011280,45,3031,3210,"[60, 60]","[30, 60]","[60, 30]","[30, 30]",up,"3,2",NULL
1354286019.456,"2012-11-30 14:33:51",011280,46,4144,3210,"[40, 40]","[10, 20]","[20, 10]","[50, 50]",down,"1,0",NULL
1354286031.92,"2012-11-30 14:34:19",011280,47,2063,2301,"[70, 60]","[40, 40]","[30, 30]","[60, 70]",down,"0,1",NULL
1354286059.416,"2012-11-30 14:34:27",011280,48,2164,1032,"[60, 30]","[70, 70]","[40, 40]","[30, 60]",down,"3,2",NULL
1354286067.415,"2012-11-30 14:34:34",011280,49,1053,1032,"[80, 30]","[50, 50]","[20, 20]","[30, 80]",down,"3,2",NULL
1354286074.305,"2012-11-30 14:35:36",011280,50,1092,1032,"[40, 30]","[50, 50]","[20, 20]","[30, 40]",down,"3,2",NULL
1354286136.194,"2012-11-30 14:35:52",011280,51,4041,2301,"[30, 80]","[40, 40]","[50, 50]","[80, 30]",up,"2,3",NULL
1354286152.092,"2012-11-30 14:36:01",011280,52,4122,0123,"[50, 50]","[20, 50]","[50, 20]","[40, 40]",up,"0,1",NULL
1354286161.824,"2012-11-30 14:36:13",011280,53,2031,2301,"[10, 60]","[40, 40]","[30, 30]","[60, 10]",up,"2,3",NULL
1354286173.205,"2012-11-30 14:37:00",011280,54,1073,2301,"[30, 60]","[0, 0]","[50, 50]","[60, 30]",down,"0,1",NULL
1354286220.113,"2012-11-30 14:37:10",011280,55,2112,3210,"[40, 40]","[70, 60]","[60, 70]","[90, 90]",down,"1,0",NULL
1354286230.511,"2012-11-30 14:37:22",011280,56,4164,1032,"[40, 30]","[50, 50]","[40, 40]","[30, 40]",down,"3,2",NULL
1354286242.259,"2012-11-30 14:37:34",011280,57,1134,1032,"[20, 30]","[50, 50]","[40, 40]","[30, 20]",up,"1,0",NULL
1354286254.274,"2012-11-30 14:37:41",011280,58,4083,0123,"[50, 50]","[60, 50]","[50, 60]","[40, 40]",down,"2,3",NULL
1354286261.597,"2012-11-30 14:37:48",011280,59,3011,2301,"[30, 60]","[40, 40]","[50, 50]","[60, 30]",up,"2,3",NULL
1354286268.913,"2012-11-30 14:38:40",011280,60,4021,2301,"[10, 60]","[40, 40]","[50, 50]","[60, 10]",up,"2,3",NULL
1354286320.604,"2012-11-30 14:38:51",011280,61,1154,0123,"[50, 50]","[40, 30]","[30, 40]","[60, 60]",down,"2,3",NULL
1354286331.685,"2012-11-30 14:39:35",011280,62,3063,0123,"[30, 30]","[60, 30]","[30, 60]","[0, 0]",down,"2,3",NULL
1354286375.328,"2012-11-30 14:40:08",011280,63,2021,3210,"[40, 40]","[10, 60]","[60, 10]","[50, 50]",up,"3,2",NULL
1354289149.545,"2012-11-30 15:27:17",012232,0,2122,3210,"[40, 40]","[60, 50]","[50, 60]","[90, 90]",right,"2,0",NULL
1354289237.093,"2012-11-30 15:27:28",012232,1,1144,3210,"[60, 60]","[20, 30]","[30, 20]","[50, 50]",left,"3,1",NULL
1354289248.841,"2012-11-30 15:27:37",012232,2,3102,0123,"[70, 70]","[30, 60]","[60, 30]","[0, 0]",left,"0,2",NULL
1354289257.889,"2012-11-30 15:27:55",012232,3,4053,1032,"[50, 80]","[50, 50]","[40, 40]","[80, 50]",right,"0,2",NULL
1354289275.716,"2012-11-30 15:28:06",012232,4,1164,2301,"[40, 30]","[40, 40]","[50, 50]","[30, 40]",right,"3,1",NULL
1354289286.631,"2012-11-30 15:28:19",012232,5,1041,2301,"[80, 30]","[40, 40]","[50, 50]","[30, 80]",right,"3,1",NULL
1354289299.404,"2012-11-30 15:28:32",012232,6,4073,0123,"[50, 50]","[70, 60]","[60, 70]","[40, 40]",left,"0,2",NULL
1354289312.83,"2012-11-30 15:28:45",012232,7,4021,1032,"[10, 60]","[50, 50]","[40, 40]","[60, 10]",left,"1,3",NULL
1354289325.875,"2012-11-30 15:28:55",012232,8,2031,0123,"[30, 30]","[10, 60]","[60, 10]","[40, 40]",right,"1,3",NULL
1354289335.839,"2012-11-30 15:29:06",012232,9,3154,2301,"[60, 30]","[60, 60]","[70, 70]","[30, 60]",right,"3,1",NULL
1354289346.632,"2012-11-30 15:30:29",012232,10,3134,1032,"[30, 60]","[90, 90]","[40, 40]","[60, 30]",right,"0,2",NULL
1354289429.334,"2012-11-30 15:30:44",012232,11,2053,0123,"[30, 30]","[50, 60]","[60, 50]","[40, 40]",left,"0,2",NULL
1354289444.949,"2012-11-30 15:30:56",012232,12,1031,3210,"[60, 60]","[80, 30]","[30, 80]","[50, 50]",left,"3,1",NULL
1354289456.238,"2012-11-30 15:31:05",012232,13,2041,2301,"[60, 30]","[40, 40]","[30, 30]","[30, 60]",right,"3,1",NULL
1354289465.541,"2012-11-30 15:31:25",012232,14,2144,1032,"[10, 60]","[90, 90]","[40, 40]","[60, 10]",left,"1,3",NULL
1354289485.408,"2012-11-30 15:31:34",012232,15,2134,2301,"[60, 30]","[40, 40]","[90, 90]","[30, 60]",left,"2,0",NULL
1354289494.407,"2012-11-30 15:31:46",012232,16,3083,1032,"[30, 60]","[50, 50]","[20, 20]","[60, 30]",left,"1,3",NULL
1354289506.36,"2012-11-30 15:31:59",012232,17,1134,1032,"[30, 20]","[50, 50]","[40, 40]","[20, 30]",right,"0,2",NULL
1354289519.966,"2012-11-30 15:32:16",012232,18,3063,1032,"[30, 60]","[30, 30]","[0, 0]","[60, 30]",right,"0,2",NULL
1354289536.962,"2012-11-30 15:32:24",012232,19,2102,0123,"[70, 70]","[70, 60]","[60, 70]","[40, 40]",left,"0,2",NULL
1354289544.336,"2012-11-30 15:34:00",012232,20,4031,0123,"[50, 50]","[10, 80]","[80, 10]","[40, 40]",right,"1,3",NULL
1354289640.945,"2012-11-30 15:34:10",012232,21,1102,0123,"[50, 50]","[30, 40]","[40, 30]","[0, 0]",left,"0,2",NULL
1354289650.527,"2012-11-30 15:34:20",012232,22,3073,1032,"[30, 60]","[50, 50]","[0, 0]","[60, 30]",right,"0,2",NULL
1354289660.252,"2012-11-30 15:34:30",012232,23,1011,3210,"[40, 40]","[60, 30]","[30, 60]","[50, 50]",left,"3,1",NULL
1354289670.923,"2012-11-30 15:34:41",012232,24,4041,0123,"[50, 50]","[30, 80]","[80, 30]","[40, 40]",right,"1,3",NULL
1354289682.057,"2012-11-30 15:34:54",012232,25,4063,3210,"[40, 40]","[80, 70]","[70, 80]","[50, 50]",right,"2,0",NULL
1354289694.819,"2012-11-30 15:35:09",012232,26,2011,0123,"[50, 50]","[30, 60]","[60, 30]","[40, 40]",right,"1,3",NULL
1354289709.45,"2012-11-30 15:35:14",012232,27,4144,0123,"[50, 50]","[10, 20]","[20, 10]","[40, 40]",left,"0,2",NULL
1354289714.751,"2012-11-30 15:35:23",012232,28,2092,2301,"[60, 50]","[40, 40]","[70, 70]","[50, 60]",left,"2,0",NULL
1354289723.272,"2012-11-30 15:35:30",012232,29,4092,1032,"[50, 40]","[50, 50]","[40, 40]","[40, 50]",right,"0,2",NULL
1354289730.182,"2012-11-30 15:36:30",012232,30,1112,3210,"[0, 0]","[20, 30]","[30, 20]","[50, 50]",right,"2,0",NULL
1354289790.18,"2012-11-30 15:36:41",012232,31,1053,1032,"[30, 80]","[50, 50]","[20, 20]","[80, 30]",right,"0,2",NULL
1354289801.062,"2012-11-30 15:36:50",012232,32,1073,2301,"[60, 30]","[0, 0]","[50, 50]","[30, 60]",left,"2,0",NULL
1354289810.557,"2012-11-30 15:36:54",012232,33,3112,3210,"[0, 0]","[60, 30]","[30, 60]","[90, 90]",right,"2,0",NULL
1354289814.873,"2012-11-30 15:37:01",012232,34,1122,1032,"[30, 20]","[50, 50]","[20, 20]","[20, 30]",right,"0,2",NULL
1354289821.083,"2012-11-30 15:37:12",012232,35,2063,0123,"[30, 30]","[70, 60]","[60, 70]","[40, 40]",right,"1,3",NULL
1354289832.495,"2012-11-30 15:37:25",012232,36,4011,0123,"[50, 50]","[30, 60]","[60, 30]","[40, 40]",left,"0,2",NULL
1354289845.071,"2012-11-30 15:37:30",012232,37,3164,1032,"[30, 60]","[70, 70]","[40, 40]","[60, 30]",right,"0,2",NULL
1354289850.32,"2012-11-30 15:37:37",012232,38,1021,3210,"[60, 60]","[60, 30]","[30, 60]","[50, 50]",left,"3,1",NULL
1354289857.51,"2012-11-30 15:37:47",012232,39,4134,3210,"[40, 40]","[20, 30]","[30, 20]","[50, 50]",right,"2,0",NULL
1354289867.826,"2012-11-30 15:40:34",012232,40,1154,2301,"[40, 30]","[60, 60]","[50, 50]","[30, 40]",right,"3,1",NULL
1354290034.51,"2012-11-30 15:40:42",012232,41,4112,0123,"[50, 50]","[70, 20]","[20, 70]","[40, 40]",left,"0,2",NULL
1354290042.337,"2012-11-30 15:40:52",012232,42,2021,3210,"[40, 40]","[60, 10]","[10, 60]","[50, 50]",left,"3,1",NULL
1354290052.407,"2012-11-30 15:40:59",012232,43,3041,0123,"[30, 30]","[30, 60]","[60, 30]","[40, 40]",right,"1,3",NULL
1354290059.68,"2012-11-30 15:41:05",012232,44,2154,1032,"[10, 60]","[70, 70]","[40, 40]","[60, 10]",right,"0,2",NULL
1354290065.708,"2012-11-30 15:41:11",012232,45,1092,0123,"[50, 50]","[30, 40]","[40, 30]","[20, 20]",left,"0,2",NULL
1354290071.187,"2012-11-30 15:41:19",012232,46,3011,0123,"[50, 50]","[30, 60]","[60, 30]","[40, 40]",right,"1,3",NULL
1354290079.685,"2012-11-30 15:41:24",012232,47,3144,0123,"[90, 90]","[30, 60]","[60, 30]","[60, 60]",left,"0,2",NULL
1354290084.059,"2012-11-30 15:41:32",012232,48,4164,2301,"[40, 30]","[40, 40]","[50, 50]","[30, 40]",left,"2,0",NULL
1354290092.7,"2012-11-30 15:41:41",012232,49,4102,3210,"[40, 40]","[40, 70]","[70, 40]","[50, 50]",right,"2,0",NULL
1354290101.898,"2012-11-30 15:42:37",012232,50,2164,0123,"[70, 70]","[30, 60]","[60, 30]","[40, 40]",left,"0,2",NULL
1354290157.686,"2012-11-30 15:42:49",012232,51,1083,0123,"[50, 50]","[30, 60]","[60, 30]","[20, 20]",left,"0,2",NULL
1354290169.375,"2012-11-30 15:43:00",012232,52,1063,2301,"[80, 30]","[0, 0]","[50, 50]","[30, 80]",left,"2,0",NULL
1354290180.443,"2012-11-30 15:43:06",012232,53,3021,0123,"[50, 50]","[30, 60]","[60, 30]","[60, 60]",right,"1,3",NULL
1354290187.041,"2012-11-30 15:43:17",012232,54,3053,0123,"[30, 30]","[30, 60]","[60, 30]","[20, 20]",left,"0,2",NULL
1354290197.857,"2012-11-30 15:43:24",012232,55,4154,1032,"[10, 40]","[50, 50]","[40, 40]","[40, 10]",right,"0,2",NULL
1354290204.197,"2012-11-30 15:43:29",012232,56,3122,3210,"[20, 20]","[60, 30]","[30, 60]","[90, 90]",right,"2,0",NULL
1354290209.837,"2012-11-30 15:43:40",012232,57,2073,1032,"[70, 60]","[50, 50]","[40, 40]","[60, 70]",right,"0,2",NULL
1354290220.269,"2012-11-30 15:43:49",012232,58,2083,3210,"[40, 40]","[60, 50]","[50, 60]","[50, 50]",right,"2,0",NULL
1354290229.701,"2012-11-30 15:43:55",012232,59,4122,2301,"[20, 50]","[40, 40]","[50, 50]","[50, 20]",left,"2,0",NULL
1354290235.958,"2012-11-30 15:44:45",012232,60,3092,1032,"[30, 60]","[70, 70]","[20, 20]","[60, 30]",right,"0,2",NULL
1354290285.658,"2012-11-30 15:44:52",012232,61,2112,2301,"[60, 70]","[40, 40]","[90, 90]","[70, 60]",left,"2,0",NULL
1354290293.015,"2012-11-30 15:44:59",012232,62,3031,0123,"[30, 30]","[30, 60]","[60, 30]","[60, 60]",right,"1,3",NULL
1354290299.805,"2012-11-30 15:45:08",012232,63,4083,3210,"[40, 40]","[60, 50]","[50, 60]","[50, 50]",right,"2,0",NULL
1354291410.406,"2012-11-30 16:06:18",013512,0,1011,3210,"[40, 40]","[60, 30]","[30, 60]","[50, 50]",up,"3,2",NULL
1354291578.369,"2012-11-30 16:06:43",013512,1,4073,3210,"[40, 40]","[60, 70]","[70, 60]","[50, 50]",down,"1,0",NULL
1354291603.588,"2012-11-30 16:07:00",013512,2,4041,1032,"[30, 80]","[50, 50]","[40, 40]","[80, 30]",down,"3,2",NULL
1354291621.028,"2012-11-30 16:07:17",013512,3,3011,2301,"[60, 30]","[40, 40]","[50, 50]","[30, 60]",up,"2,3",NULL
1354291637.225,"2012-11-30 16:07:37",013512,4,4112,0123,"[50, 50]","[70, 20]","[20, 70]","[40, 40]",up,"0,1",NULL
1354291657.171,"2012-11-30 16:07:54",013512,5,1031,2301,"[80, 30]","[60, 60]","[50, 50]","[30, 80]",up,"2,3",NULL
1354291674.439,"2012-11-30 16:08:20",013512,6,4102,0123,"[50, 50]","[70, 40]","[40, 70]","[40, 40]",up,"0,1",NULL
1354291701.064,"2012-11-30 16:08:51",013512,7,2073,0123,"[50, 50]","[70, 60]","[60, 70]","[40, 40]",up,"0,1",NULL
1354291731.47,"2012-11-30 16:09:07",013512,8,2053,1032,"[50, 60]","[30, 30]","[40, 40]","[60, 50]",down,"3,2",NULL
1354291747.876,"2012-11-30 16:09:56",013512,9,2134,1032,"[30, 60]","[90, 90]","[40, 40]","[60, 30]",up,"1,0",NULL
1354291796.684,"2012-11-30 16:11:06",013512,10,3073,3210,"[0, 0]","[60, 30]","[30, 60]","[50, 50]",down,"1,0",NULL
1354291866.84,"2012-11-30 16:11:39",013512,11,1144,3210,"[60, 60]","[20, 30]","[30, 20]","[50, 50]",down,"1,0",NULL
1354291899.404,"2012-11-30 16:11:49",013512,12,1154,0123,"[50, 50]","[30, 40]","[40, 30]","[60, 60]",down,"2,3",NULL
1354291910.011,"2012-11-30 16:12:06",013512,13,1134,2301,"[20, 30]","[40, 40]","[50, 50]","[30, 20]",down,"0,1",NULL
1354291926.312,"2012-11-30 16:12:14",013512,14,2102,1032,"[70, 60]","[70, 70]","[40, 40]","[60, 70]",up,"1,0",NULL
1354291934.935,"2012-11-30 16:12:25",013512,15,3154,2301,"[60, 30]","[60, 60]","[70, 70]","[30, 60]",up,"2,3",NULL
1354291945.971,"2012-11-30 16:12:36",013512,16,1021,2301,"[60, 30]","[60, 60]","[50, 50]","[30, 60]",up,"2,3",NULL
1354291956.611,"2012-11-30 16:12:47",013512,17,2031,3210,"[40, 40]","[60, 10]","[10, 60]","[30, 30]",up,"3,2",NULL
1354291967.447,"2012-11-30 16:12:58",013512,18,1063,1032,"[30, 80]","[50, 50]","[0, 0]","[80, 30]",up,"1,0",NULL
1354291978.302,"2012-11-30 16:13:12",013512,19,1092,0123,"[50, 50]","[30, 40]","[40, 30]","[20, 20]",up,"0,1",NULL
1354291992.396,"2012-11-30 16:14:11",013512,20,1073,1032,"[30, 60]","[50, 50]","[0, 0]","[60, 30]",up,"1,0",NULL
1354292051.57,"2012-11-30 16:14:18",013512,21,4092,3210,"[40, 40]","[40, 50]","[50, 40]","[50, 50]",down,"1,0",NULL
1354292058.68,"2012-11-30 16:14:30",013512,22,2021,2301,"[60, 10]","[40, 40]","[50, 50]","[10, 60]",up,"2,3",NULL
1354292070.545,"2012-11-30 16:14:49",013512,23,3053,3210,"[20, 20]","[60, 30]","[30, 60]","[30, 30]",up,"3,2",NULL
1354292089.563,"2012-11-30 16:15:02",013512,24,2092,3210,"[40, 40]","[60, 50]","[50, 60]","[70, 70]",down,"1,0",NULL
1354292102.885,"2012-11-30 16:15:18",013512,25,4164,2301,"[40, 30]","[40, 40]","[50, 50]","[30, 40]",up,"2,3",NULL
1354292118.275,"2012-11-30 16:15:45",013512,26,4144,2301,"[20, 10]","[40, 40]","[50, 50]","[10, 20]",up,"2,3",NULL
1354292145.387,"2012-11-30 16:15:51",013512,27,3021,3210,"[60, 60]","[60, 30]","[30, 60]","[50, 50]",up,"3,2",NULL
1354292151.514,"2012-11-30 16:16:08",013512,28,3112,3210,"[0, 0]","[60, 30]","[30, 60]","[90, 90]",down,"1,0",NULL
1354292168.109,"2012-11-30 16:16:34",013512,29,2164,2301,"[60, 30]","[40, 40]","[70, 70]","[30, 60]",down,"0,1",NULL
1354292194.969,"2012-11-30 16:17:37",013512,30,3041,3210,"[40, 40]","[60, 30]","[30, 60]","[30, 30]",up,"3,2",NULL
1354292257.771,"2012-11-30 16:17:44",013512,31,3031,1032,"[30, 60]","[30, 30]","[60, 60]","[60, 30]",down,"3,2",NULL
1354292264.183,"2012-11-30 16:17:58",013512,32,3144,3210,"[60, 60]","[60, 30]","[30, 60]","[90, 90]",up,"3,2",NULL
1354292279.034,"2012-11-30 16:18:07",013512,33,2122,0123,"[90, 90]","[50, 60]","[60, 50]","[40, 40]",up,"0,1",NULL
1354292288.016,"2012-11-30 16:18:21",013512,34,4011,1032,"[30, 60]","[50, 50]","[40, 40]","[60, 30]",down,"3,2",NULL
1354292301.588,"2012-11-30 16:18:29",013512,35,3063,0123,"[30, 30]","[30, 60]","[60, 30]","[0, 0]",up,"0,1",NULL
1354292309.52,"2012-11-30 16:18:42",013512,36,2154,1032,"[10, 60]","[70, 70]","[40, 40]","[60, 10]",down,"3,2",NULL
1354292322.472,"2012-11-30 16:19:01",013512,37,1164,0123,"[50, 50]","[30, 40]","[40, 30]","[40, 40]",down,"2,3",NULL
1354292342.04,"2012-11-30 16:19:13",013512,38,1112,1032,"[30, 20]","[50, 50]","[0, 0]","[20, 30]",up,"1,0",NULL
1354292353.913,"2012-11-30 16:19:20",013512,39,4122,0123,"[50, 50]","[50, 20]","[20, 50]","[40, 40]",up,"0,1",NULL
1354292360.983,"2012-11-30 16:20:32",013512,40,3122,0123,"[90, 90]","[30, 60]","[60, 30]","[20, 20]",up,"0,1",NULL
1354292432.723,"2012-11-30 16:20:49",013512,41,3164,2301,"[60, 30]","[40, 40]","[70, 70]","[30, 60]",up,"2,3",NULL
1354292449.717,"2012-11-30 16:20:55",013512,42,2112,3210,"[40, 40]","[60, 70]","[70, 60]","[90, 90]",down,"1,0",NULL
1354292455.228,"2012-11-30 16:21:01",013512,43,1102,1032,"[30, 40]","[50, 50]","[0, 0]","[40, 30]",up,"1,0",NULL
1354292461.96,"2012-11-30 16:21:09",013512,44,3102,3210,"[0, 0]","[60, 30]","[30, 60]","[70, 70]",down,"1,0",NULL
1354292469.338,"2012-11-30 16:21:27",013512,45,4134,3210,"[40, 40]","[20, 30]","[30, 20]","[50, 50]",down,"1,0",NULL
1354292487.844,"2012-11-30 16:21:36",013512,46,2083,2301,"[60, 50]","[40, 40]","[50, 50]","[50, 60]",down,"0,1",NULL
1354292496.684,"2012-11-30 16:21:45",013512,47,3083,1032,"[30, 60]","[50, 50]","[20, 20]","[60, 30]",up,"1,0",NULL
1354292505.741,"2012-11-30 16:21:50",013512,48,2041,2301,"[60, 30]","[40, 40]","[30, 30]","[30, 60]",up,"2,3",NULL
1354292511.056,"2012-11-30 16:22:01",013512,49,2144,1032,"[10, 60]","[90, 90]","[40, 40]","[60, 10]",down,"3,2",NULL
1354292522.063,"2012-11-30 16:22:55",013512,50,2011,3210,"[40, 40]","[60, 30]","[30, 60]","[50, 50]",up,"3,2",NULL
1354292575.595,"2012-11-30 16:23:03",013512,51,2063,0123,"[30, 30]","[70, 60]","[60, 70]","[40, 40]",down,"2,3",NULL
1354292583.311,"2012-11-30 16:23:13",013512,52,1053,1032,"[30, 80]","[50, 50]","[20, 20]","[80, 30]",down,"3,2",NULL
1354292594.026,"2012-11-30 16:23:25",013512,53,3092,3210,"[20, 20]","[60, 30]","[30, 60]","[70, 70]",down,"1,0",NULL
1354292605.182,"2012-11-30 16:23:33",013512,54,4031,2301,"[80, 10]","[40, 40]","[50, 50]","[10, 80]",up,"2,3",NULL
1354292613.572,"2012-11-30 16:23:44",013512,55,1083,0123,"[50, 50]","[30, 60]","[60, 30]","[20, 20]",up,"0,1",NULL
1354292624.112,"2012-11-30 16:23:49",013512,56,4021,2301,"[60, 10]","[40, 40]","[50, 50]","[10, 60]",up,"2,3",NULL
1354292629.835,"2012-11-30 16:24:04",013512,57,1041,3210,"[40, 40]","[80, 30]","[30, 80]","[50, 50]",up,"3,2",NULL
1354292644.367,"2012-11-30 16:24:12",013512,58,4154,3210,"[40, 40]","[40, 10]","[10, 40]","[50, 50]",up,"3,2",NULL
1354292652.432,"2012-11-30 16:24:30",013512,59,3134,1032,"[30, 60]","[90, 90]","[40, 40]","[60, 30]",down,"3,2",NULL
1354292670.204,"2012-11-30 16:25:38",013512,60,4063,1032,"[70, 80]","[50, 50]","[40, 40]","[80, 70]",up,"1,0",NULL
1354292738.326,"2012-11-30 16:25:48",013512,61,4053,0123,"[50, 50]","[50, 80]","[80, 50]","[40, 40]",down,"2,3",NULL
1354292748.557,"2012-11-30 16:25:53",013512,62,1122,2301,"[20, 30]","[20, 20]","[50, 50]","[30, 20]",down,"0,1",NULL
1354292753.615,"2012-11-30 16:26:01",013512,63,4083,2301,"[60, 50]","[40, 40]","[50, 50]","[50, 60]",down,"0,1",NULL
1354454104.118,"2012-12-02 13:16:07",014384,0,2164,3210,"[40, 40]","[30, 60]","[60, 30]","[70, 70]",right,"2,0",NULL
1354454167.263,"2012-12-02 13:16:22",014384,1,2011,3210,"[40, 40]","[30, 60]","[60, 30]","[50, 50]",right,"2,0",NULL
1354454182.281,"2012-12-02 13:16:30",014384,2,2102,2301,"[70, 60]","[40, 40]","[70, 70]","[60, 70]",left,"2,0",NULL
1354454190.351,"2012-12-02 13:16:35",014384,3,4112,3210,"[40, 40]","[70, 20]","[20, 70]","[50, 50]",right,"2,0",NULL
1354454195.163,"2012-12-02 13:16:41",014384,4,2092,1032,"[60, 50]","[70, 70]","[40, 40]","[50, 60]",right,"0,2",NULL
1354454201.261,"2012-12-02 13:16:45",014384,5,1154,3210,"[60, 60]","[30, 40]","[40, 30]","[50, 50]",left,"3,1",NULL
1354454205.703,"2012-12-02 13:16:50",014384,6,4154,3210,"[40, 40]","[10, 40]","[40, 10]","[50, 50]",left,"3,1",NULL
1354454210.381,"2012-12-02 13:16:56",014384,7,1144,3210,"[60, 60]","[30, 20]","[20, 30]","[50, 50]",left,"3,1",NULL
1354454216.877,"2012-12-02 13:17:02",014384,8,3073,2301,"[30, 60]","[0, 0]","[50, 50]","[60, 30]",left,"2,0",NULL
1354454222.4,"2012-12-02 13:17:10",014384,9,4102,3210,"[40, 40]","[70, 40]","[40, 70]","[50, 50]",right,"2,0",NULL
1354454230.823,"2012-12-02 13:18:12",014384,10,3134,3210,"[40, 40]","[30, 60]","[60, 30]","[90, 90]",right,"2,0",NULL
1354454292.396,"2012-12-02 13:18:22",014384,11,1063,3210,"[0, 0]","[30, 80]","[80, 30]","[50, 50]",right,"2,0",NULL
1354454302.136,"2012-12-02 13:18:34",014384,12,4011,2301,"[30, 60]","[40, 40]","[50, 50]","[60, 30]",right,"3,1",NULL
1354454314.764,"2012-12-02 13:18:41",014384,13,2122,1032,"[60, 50]","[90, 90]","[40, 40]","[50, 60]",right,"0,2",NULL
1354454321.747,"2012-12-02 13:18:49",014384,14,4021,3210,"[40, 40]","[10, 60]","[60, 10]","[50, 50]",left,"3,1",NULL
1354454329.803,"2012-12-02 13:18:54",014384,15,4041,3210,"[40, 40]","[30, 80]","[80, 30]","[50, 50]",left,"3,1",NULL
1354454334.311,"2012-12-02 13:19:05",014384,16,4083,3210,"[40, 40]","[50, 60]","[60, 50]","[50, 50]",right,"2,0",NULL
1354454345.096,"2012-12-02 13:19:15",014384,17,1053,0123,"[50, 50]","[80, 30]","[30, 80]","[20, 20]",left,"0,2",NULL
1354454355.336,"2012-12-02 13:19:23",014384,18,2112,3210,"[40, 40]","[70, 60]","[60, 70]","[90, 90]",right,"2,0",NULL
1354454363.298,"2012-12-02 13:19:33",014384,19,3053,1032,"[60, 30]","[30, 30]","[20, 20]","[30, 60]",right,"0,2",NULL
1354454373.08,"2012-12-02 13:20:20",014384,20,3112,1032,"[60, 30]","[90, 90]","[0, 0]","[30, 60]",right,"0,2",NULL
1354454420.559,"2012-12-02 13:20:27",014384,21,2021,3210,"[40, 40]","[10, 60]","[60, 10]","[50, 50]",left,"3,1",NULL
1354454427.5,"2012-12-02 13:20:50",014384,22,1164,1032,"[40, 30]","[50, 50]","[40, 40]","[30, 40]",right,"0,2",NULL
1354454450.238,"2012-12-02 13:21:03",014384,23,3122,3210,"[20, 20]","[30, 60]","[60, 30]","[90, 90]",right,"2,0",NULL
1354454463.34,"2012-12-02 13:21:21",014384,24,4144,2301,"[10, 20]","[40, 40]","[50, 50]","[20, 10]",right,"3,1",NULL
1354454481.849,"2012-12-02 13:21:25",014384,25,1112,2301,"[30, 20]","[0, 0]","[50, 50]","[20, 30]",left,"2,0",NULL
1354454485.97,"2012-12-02 13:21:32",014384,26,3092,1032,"[60, 30]","[70, 70]","[20, 20]","[30, 60]",right,"0,2",NULL
1354454492.489,"2012-12-02 13:21:41",014384,27,3154,0123,"[70, 70]","[60, 30]","[30, 60]","[60, 60]",right,"1,3",NULL
1354454501.579,"2012-12-02 13:21:56",014384,28,2041,3210,"[40, 40]","[30, 60]","[60, 30]","[30, 30]",left,"3,1",NULL
1354454516.843,"2012-12-02 13:22:04",014384,29,2063,3210,"[40, 40]","[70, 60]","[60, 70]","[30, 30]",left,"3,1",NULL
1354454524.109,"2012-12-02 13:22:58",014384,30,1041,0123,"[50, 50]","[80, 30]","[30, 80]","[40, 40]",right,"1,3",NULL
1354454578.941,"2012-12-02 13:23:07",014384,31,3011,0123,"[50, 50]","[60, 30]","[30, 60]","[40, 40]",right,"1,3",NULL
1354454587.565,"2012-12-02 13:23:15",014384,32,4073,2301,"[70, 60]","[40, 40]","[50, 50]","[60, 70]",left,"2,0",NULL
1354454595.861,"2012-12-02 13:23:26",014384,33,3083,3210,"[20, 20]","[30, 60]","[60, 30]","[50, 50]",right,"2,0",NULL
1354454606.509,"2012-12-02 13:23:30",014384,34,2031,1032,"[60, 10]","[30, 30]","[40, 40]","[10, 60]",left,"1,3",NULL
1354454610.692,"2012-12-02 13:23:34",014384,35,3041,1032,"[60, 30]","[30, 30]","[40, 40]","[30, 60]",left,"1,3",NULL
1354454614.583,"2012-12-02 13:23:38",014384,36,1102,1032,"[40, 30]","[50, 50]","[0, 0]","[30, 40]",right,"0,2",NULL
1354454618.523,"2012-12-02 13:23:53",014384,37,3144,1032,"[60, 30]","[90, 90]","[60, 60]","[30, 60]",right,"0,2",NULL
1354454633.83,"2012-12-02 13:23:59",014384,38,1031,2301,"[30, 80]","[60, 60]","[50, 50]","[80, 30]",right,"3,1",NULL
1354454639.678,"2012-12-02 13:24:03",014384,39,4092,0123,"[50, 50]","[40, 50]","[50, 40]","[40, 40]",left,"0,2",NULL
1354454643.645,"2012-12-02 13:24:47",014384,40,2053,0123,"[30, 30]","[60, 50]","[50, 60]","[40, 40]",right,"1,3",NULL
1354454687.562,"2012-12-02 13:24:54",014384,41,2134,3210,"[40, 40]","[30, 60]","[60, 30]","[90, 90]",right,"2,0",NULL
1354454694.561,"2012-12-02 13:24:58",014384,42,2073,2301,"[70, 60]","[40, 40]","[50, 50]","[60, 70]",left,"2,0",NULL
