"expt","sub","trial.no","rt"
"expt 1","003080",6,12989
"expt 1","003080",7,13438
"expt 1","003080",8,15348
"expt 1","003080",9,16924
"expt 1","003080",10,6165
"expt 1","003080",11,9704
"expt 1","003080",12,23781
"expt 1","003080",13,24926
"expt 1","003080",14,14204
"expt 1","003080",15,15977
"expt 1","003080",16,13304
"expt 1","003080",17,9436
"expt 1","003080",18,9173
"expt 1","003080",19,6284
"expt 1","003080",20,7377
"expt 1","003080",21,33045
"expt 1","003080",22,9403
"expt 1","003080",23,8823
"expt 1","003080",24,9205
"expt 1","003080",25,13089
"expt 1","003080",26,5651
"expt 1","003080",27,11395
"expt 1","003080",28,4704
"expt 1","003080",29,19066
"expt 1","003080",30,5451
"expt 1","003080",31,7327
"expt 1","003080",32,7443
"expt 1","003080",33,19398
"expt 1","003080",34,11379
"expt 1","003080",35,7643
"expt 1","003080",36,13388
"expt 1","003080",37,7942
"expt 1","003080",38,8856
"expt 1","003080",39,6448
"expt 1","003080",40,10267
"expt 1","003080",41,9521
"expt 1","003080",42,8091
"expt 1","003080",43,10913
"expt 1","003080",44,4688
"expt 1","003080",45,8506
"expt 1","003080",46,12210
"expt 1","003080",47,6099
"expt 1","003080",48,7228
"expt 1","003080",49,7959
"expt 1","003080",50,10898
"expt 1","003080",51,4074
"expt 1","003080",52,8558
"expt 1","003080",53,6480
"expt 1","003080",54,11113
"expt 1","003080",55,13655
"expt 1","003080",56,18169
"expt 1","003080",57,13255
"expt 1","003080",58,10117
"expt 1","003080",59,17057
"expt 1","003080",60,8158
"expt 1","003080",61,4439
"expt 1","003080",62,8556
"expt 1","003080",63,5020
"expt 1","004128",0,57202
"expt 1","004128",1,22352
"expt 1","004128",2,14367
"expt 1","004128",3,17737
"expt 1","004128",4,19680
"expt 1","004128",5,23482
"expt 1","004128",6,37627
"expt 1","004128",7,40284
"expt 1","004128",8,14085
"expt 1","004128",9,31368
"expt 1","004128",10,18617
"expt 1","004128",11,6913
"expt 1","004128",12,6680
"expt 1","004128",13,30571
"expt 1","004128",14,9320
"expt 1","004128",15,16027
"expt 1","004128",16,24495
"expt 1","004128",17,26172
"expt 1","004128",18,24661
